lemma,category,gender,notes,source
stadtplan,noun,,,cefr_a1
start,noun,,,cefr_a1
stelle,noun,,,cefr_a1
stock,noun,,,cefr_a1
straße,noun,,,cefr_a1
straßenbahn,noun,,,cefr_a1
student,noun,,,cefr_a1
studentin,noun,,,cefr_a1
studium,noun,,,cefr_a1
stufe,noun,,,cefr_a1
stunde,noun,,,cefr_a1
ständig,noun,,,cefr_a1
stück,noun,,,cefr_a1
supermarkt,noun,,,cefr_a1
system,noun,,,cefr_a1
szeit,noun,,,cefr_a1
süden,noun,,,cefr_a1
tag,noun,,,cefr_a1
tagesablauf,noun,,,cefr_a1
tageszeit,noun,,,cefr_a1
tanzen,noun,,,cefr_a1
tasche,noun,,,cefr_a1
tasse,noun,,,cefr_a1
taxi,noun,,,cefr_a1
tee,noun,,,cefr_a1
teil,noun,,,cefr_a1
